tag,real_tag,server,description,name,unit,measurement_type,process,area,sub_area,section,equipment,data_type,derived,quality_score,profit_type,tag_type,target,recommend,s0_feature,s1_feature,s2_feature,s3_feature,s4_feature,s5_feature,s6_feature,s7_feature,s8_feature,s9_feature,s10_feature,s11_feature,s12_feature,s13_feature,s14_feature,s15_feature,s16_feature,s17_feature,fa0l1_feature,fa0l2_feature,fa1l1_feature,fa1l2_feature,fa2l1_feature,fa2l2_feature,fa2l3_feature,fa2lg_feature,range_min,range_max,op_min,op_max,min_delta,max_delta_down,max_delta,on_off_dependencies,constraint_set,round_val,comentarios,dist_count,dist_mean,dist_std,dist_min,dist_2%,dist_10%,dist_20%,dist_50%,dist_80%,dist_90%,dist_98%,dist_max,dif_count,dif_mean,dif_std,dif_min,dif_2%,dif_10%,dif_20%,dif_50%,dif_70%,dif_80%,dif_90%,dif_98%,dif_max
ma2_3si731a,MA2:3SI731A,CNCHPI02,velocidad bomba 38,,%,velocidad bomba,molienda,MA2,BHC 16B,S16,BHC 16B,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3si736a,MA2:3SI736A,CNCHPI02,velocidad bomba 39,,%,velocidad bomba,molienda,MA2,BHC 16B,S16,BHC 16B,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida,19081.0,44.074598000337744,39.285669096679726,0.0,0.0,0.0,0.0,75.72972222222222,80.0,82.0,85.00416666666666,91.75138888888887,4770.0,2.8538969834614485,9.554420530322982,0.0,0.0,0.0,0.0,0.2053819444444472,1.0682430555555595,1.8275000000000008,3.9209861111111115,42.69174999999996,78.738125
ma2_3si761a,MA2:3SI761A,CNCHPI02,velocidad bomba 40,,%,velocidad bomba,molienda,MA2,BHC 17A,S17,BHC 17A,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3si766a,MA2:3SI766A,CNCHPI02,velocidad bomba 41,,%,velocidad bomba,molienda,MA2,BHC 17A,S17,BHC 17A,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3si771a,MA2:3SI771A,CNCHPI02,velocidad bomba 43,,%,velocidad bomba,molienda,MA2,BHC 17B,S17,BHC 17B,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3si776a,MA2:3SI776A,CNCHPI02,velocidad bomba 42,,%,velocidad bomba,molienda,MA2,BHC 17B,S17,BHC 17B,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3xl0003hic,MA2:3XL0003HIC,CNCHPI02,velocidad motor bomba 503,,%,velocidad bomba,molienda,MA2,Cuba SAG 16,S16,Cuba SAG 16,numeric,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,"sacar eran la configuracion original del quinto molino que no se aplica, sin datos",,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3xl0004hic,MA2:3XL0004HIC,CNCHPI02,velocidad motor bomba 504,,%,velocidad bomba,molienda,MA2,Cuba SAG 16,S16,Cuba SAG 16,numeric,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,"sacar eran la configuracion original del quinto molino que no se aplica, sin datos",,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3xl0005hic,MA2:3XL0005HIC,CNCHPI02,velocidad motor bomba 505,,%,velocidad bomba,molienda,MA2,Cuba SAG 16,S16,Cuba SAG 16,numeric,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,"sacar eran la configuracion original del quinto molino que no se aplica, sin datos",,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3xl0006hic,MA2:3XL0006HIC,CNCHPI02,velocidad motor bomba 506,,%,velocidad bomba,molienda,MA2,Cuba SAG 17,S17,Cuba SAG 17,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,sacar eran la configuracion original del quinto molino que no se aplica,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3xl0007hic,MA2:3XL0007HIC,CNCHPI02,velocidad motor bomba 507,,%,velocidad bomba,molienda,MA2,Cuba SAG 17,S17,Cuba SAG 17,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,sacar eran la configuracion original del quinto molino que no se aplica,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3xl0008hic,MA2:3XL0008HIC,CNCHPI02,velocidad motor bomba 508,,%,velocidad bomba,molienda,MA2,Cuba SAG 17,S17,Cuba SAG 17,numeric,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,sacar eran la configuracion original del quinto molino que no se aplica,,,,,,,,,,,,,,,,,,,,,,,,,
ma2_3lic122,MA2:3LIC122,CNCHPI02,nivel cajon bba bhc sag1,nivel cajon bba bhc sag16,%,nivel cuba,molienda,MA2,SAG 16,S16,Cuba SAG 16,numeric,0.0,,CV,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,90.0,5.0,20.0,20.0,"on_off_linea_16, on_off_m_A2",,0,"medida, mas consecuencia, depende de agua, #ciclones, transferencia",19766.0,64.63276870346775,12.892186951912398,0.18212764888888888,19.99878,53.646096347222226,59.84877599444444,66.94143427083334,72.63833333333334,74.7113609125,87.60069949416668,99.93059166666669,4942.0,4.869803912991442,6.078996905242359,0.0,0.024378015930547864,0.4006193126388886,0.8899979641666662,2.9668687614583367,5.3747356886111035,7.373774824722218,11.25822541571529,23.815950074319467,64.3249042138889
ma2_3lic222,MA2:3LIC222,CNCHPI02,nivel cajon bba bhc sag2,nivel cajon bba bhc sag17,%,nivel cuba,molienda,MA2,SAG 17,S17,Cuba SAG 17,numeric,0.0,,CV,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,90.0,5.0,20.0,20.0,"on_off_linea_17, on_off_m_A2",,0,"medida, mas consecuencia, depende de agua, #ciclones, transferencia",19720.0,61.975356498571045,14.249612657305322,0.2620395884166667,18.269658600000003,44.52524292833333,55.099643147222224,65.2588247125,71.34017776107787,73.90160686749995,82.45337660547698,99.91759999999998,4930.0,6.622777009047878,7.4306126539338795,0.0,0.07620947940277634,0.5145661080532336,1.2935822247222324,4.207312485069451,7.688059111319431,10.53085070958334,15.748842120208346,29.68096740788736,67.9769403111111
ma2_3ji101,MA2:3JI101,CNCHPI02,potencia chancador 101,,kw,potencia,molienda,MA2,Chancado Pebbles,BM 19,CHP101,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,medida poco confiable,19772.0,299.6415362883214,303.46897332208727,0.0,0.0,0.0,0.0,196.80271548888885,652.8697579833331,692.0393203277777,728.4204217844444,747.0924,4943.0,99.49102879823313,137.86826041680865,0.0,0.0,0.0,0.0,37.955184950960934,112.4925582669684,185.80080542599998,308.04027442972216,521.3909890973,690.7859461458335
ma2_3ji102,MA2:3JI102,CNCHPI02,potencia chancador 102,,kw,potencia,molienda,MA2,Chancado Pebbles,BM 19,CHP102,numeric,0.0,1,,control,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,"medida poco confiable, sin datos",41.0,3.1593826405078094,1.8286958984146082,1.2230224609375,1.2230224609375,1.2230224609375,1.2230224609375,4.878196716308594,4.878196716308594,4.878196716308594,4.878196716308594,4.878196716308594,10.0,0.1023066255781386,0.32352195655295857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10230662557813824,0.8389143297407368,1.023066255781386
ma2_3ji103,MA2:3JI103,CNCHPI02,potencia chancador 103,,kw,potencia,molienda,MA2,Chancado Pebbles,BM 19,CHP103,numeric,0.0,,,control,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,"calculada a partir de corrientes y voltajes, baja calidad tag sin valores",44.0,0.9818244949494952,0.12056266125546967,0.20027777777777767,0.8880388888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.01999305555555555,0.06322359294183863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019993055555555483,0.16394305555555558,0.1999305555555555
ma2_3ji155,MA2:3JI155,CNCHPI02,potencia mol. sag 16,,mw,potencia,molienda,MA2,SAG 16,S16,SAG 16,numeric,0.0,,CV,control,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,9.0,7.0,8.1,,,,"on_off_linea_16, on_off_m_A2",,,"medida, consecuencia",19763.0,6.191772424093274,2.3905361328678465,0.0,6.745021396176094e-10,0.019371924251236048,5.688791018900909,7.054309692198577,7.764778414590207,7.9521823669494465,8.223142650555376,8.580323815930612,4940.0,0.6760217291121111,1.0888871424017508,0.0,2.2502152484785998e-06,0.0132258355489588,0.06447805032114165,0.2925363789570401,0.5890992768324301,0.8795175150717881,1.715111419751968,4.811557067286562,7.731196067252776
